,Postal_Code,Population
974,3867,44305
975,3868,8521
976,3869,6402
977,3870,11215
978,3871,179
979,3872,4787
980,3873,15126
981,3874,23817
982,3875,836
983,3878,10997
984,3882,3959
985,3883,461
986,3884,6500
987,3885,15358
988,3886,5329
989,3887,5827
990,3890,724
991,3894,13924
992,3901,16335
993,3902,4670
994,3903,14028
995,3904,16925
996,3905,4646
997,3906,9580
998,3907,1766
999,3908,7376
1000,3909,22595
1001,3910,679
1002,3911,570
1003,4001,5612
1004,4002,11539
1005,4003,520
1006,4005,50817
1007,4006,203
1008,4008,4238
1009,4009,10604
1010,4010,4124
1011,4011,32111
1012,4015,10016
1013,4017,372
1014,4019,161
1015,4020,3902
1016,4021,6818
1017,4022,2452
1018,4024,1598
1019,4027,7345
1020,4029,3758
1021,4030,2386
1022,4032,20358
1023,4037,6577
1024,4038,42378
1025,4039,15709
1026,4040,6190
1027,4041,2403
1028,4042,11016
1029,4043,28659
1030,4046,15349
1031,4047,4715
1032,4048,1957
1033,4049,4193
1034,4050,626
1035,4051,3065
1036,4055,10132
1037,4056,537
1038,4057,158
1039,4061,3925
1040,4062,28445
1041,4063,937
1042,4064,21643
1043,4066,1413
1044,4068,3180
1045,4069,3297
1046,4071,7962
1047,4072,29921
1048,4073,20254
1049,4074,41863
1050,4076,4396
1051,4079,8526
1052,4083,11785
1053,4084,8884
1054,4085,4699
1055,4086,15374
1056,4087,5419
1057,4088,4019
1058,4090,20482
1059,4091,1910
1060,4092,27573
1061,4093,22189
1062,4095,3402
1063,4096,17560
1064,4097,4159
1065,4101,45778
1066,4102,11962
1067,4103,17355
1068,4105,22665
1069,4106,29714
1070,4107,15054
1071,4108,950
1072,4109,110
1073,4110,2826
1074,4210,29889
1075,4216,1031
1076,4217,9025
1077,4219,3277
1078,4220,6522
1079,4221,1741
1080,4222,3870
1081,4224,3496
1082,4226,411
1083,4227,188
1084,4228,12
1085,4231,287
1086,4234,179
1087,4236,9581
1088,4237,645
1089,4238,3763
1090,4239,7976
1091,4240,41292
1092,4250,9045
1093,4252,7848
1094,4253,4518
1095,4254,6678
1096,4255,929
1097,4256,7960
1098,4257,6036
1099,4258,5468
1100,4259,5243
1101,4260,14985
1102,4261,1147
1103,4263,6170
1104,4265,2363
1105,4267,100
1106,4268,7944
1107,4270,9660
1108,4271,61
1109,4274,8694
1110,4275,1359
1111,4276,12674
1112,4280,14487
1113,4281,11235
1114,4282,9179
1115,4284,1870
1116,4285,933
1117,4286,54
1118,4287,6859
1119,4289,4807
1120,4290,3178
1121,4292,1922
1122,4294,6551
1123,4330,30462
1124,4342,2542
1125,4343,46
1126,4344,7621
1127,4345,23554
1128,4346,2935
1129,4347,3856
1130,4348,7960
1131,4349,3129
1132,4350,5923
1133,4351,7070
1134,4352,3571
1135,4353,2870
1136,4354,3432
1137,4355,6788
1138,4357,6696
1139,4358,11591
1140,4359,621
1141,4360,1236
1142,4363,2891
1143,4364,8854
1144,4401,95230
1145,4406,1201
1146,4408,448
1147,4410,2058
1148,4411,1862
1149,4412,16916
1150,4413,522
1151,4414,1348
1152,4415,595
1153,4416,14390
1154,4417,645
1155,4418,4718
1156,4419,4989
1157,4421,2649
1158,4422,1715
1159,4424,2192
1160,4426,9988
1161,4427,6569
1162,4428,7239
